Electrical conductivity (mostly) in ohm-1 * cm-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
KCl-PrCl3,87.4-12.6,+E,1083,1231,,6.205616,-11711.63,,,,,
KCl-PrCl3,100-0,+E,1095,1260,,6.451048,-9230.14,,,,"For 100% KCl, the departures from the recommended data set are: 1090 K 0.6%, 1250 K 0.6%.",
KCl-PrCl3,0-100 KCl,I4,1073,,,77.18,-0.4777,0.012484,-2.4683E-4,2.0545E-6,"For the ISOTHERM, the UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE). Densities to change k to (ohm-1 cm-1) not reported. For 100% KCl the departure at 1073 K from the recommended data set is -0.5%.",
KCl-RbBr,0-100,+E,1043,1123,,4.4159,-10568.12,,,,"For 100% RbBr, the departures from the recommended data set are: 1050 K, +1.1%, 1120 K, -1.6%.",
KCl-RbBr,10-90,+E,1043,1123,,5.4011,-11967.7,,,,,
KCl-RbBr,20-80,+E,1043,1123,,5.2131,-11178.58,,,,,
KCl-RbBr,30-70,+E,1043,1123,,5.2143,-10790.3,,,,,
KCl-RbBr,40-60,+E,1043,1123,,6.0078,-11718.74,,,,,
KCl-RbBr,50-50,+E,1043,1123,,6.0082,-11241.76,,,,,
KCl-RbBr,60-40,+E,1043,1123,,6.4862,-11520.,,,,,
KCl-RbBr,70-30,+E,1043,1123,,6.7943,-11497.82,,,,,
KCl-RbBr,80-20,+E,1043,1123,,8.9132,-13501.99,,,,,
KCl-RbBr,90-10,+E,1043,1123,,7.1561,-11016.24,,,,,
KCl-RbBr,100-0,+E,1043,1123,,6.5967,-9745.12,,,,"For 100% KCl, the departures from the recommended data set are: 1050 K, -1.0%,1120 K, -1.4%.",
KCl-RbCl,0-100,+E,1020,1190,,6.246,-11673.97,,,,"For 100% RbCl, the departures from the recommended data set are: 1020 K, -0.13%, 1170 K, -4.2%.",
KCl-RbCl,25-75,+E,1060,1140,,6.49,-11530.88,,,,,
KCl-RbCl,50-50,+E,1070,1190,,6.508,-10928.37,,,,,
KCl-RbCl,75-25,+E,1070,1180,,6.886,-10806.2,,,,,
KCl-RbCl,100-0,+E,1060,1190,,7.165,-10404.53,,,,"For 100% KCl, the departures from the recommended data set are: 1080 K, -3.1%,1190 K, 0.0%.",
KCl-ScCl3,30-70,+E,1153,1233,,5.247,-14306.59,,,,,
KCl-ScCl3,40-60,+E,1133,1233,,5.071,-13496.97,,,,,
KCl-ScCl3,50-50,+E,913,1233,,9.354,-18604.47,,,,,
KCl-ScCl3,60-40,+E,1073,1233,,6.088,-13381.49,,,,,
KCl-ScCl3,70-30,+E,1113,1233,,11.944,-19606.13,,,,,
KCl-ScCl3,80-20,+E,1073,1233,,9.192,-15186.5,,,,,
KCl-ScCl3,90-10,+E,1033,1233,,8.451,-12983.17,,,,,
KCl-ScCl3,100-0,+E,1073,1233,,6.721,-10086.54,,,,"For 100% KCl, the departures from the recommended data set are: 1080 K, -3.1%,1230 K, -2.9%.",
KCl-SnCl2,0-100,+E,573,623,,17.095,-13010.37,,,,"For 100% SnCl2, the departures from the recommended data set are: 570 K, +3.2%, 620 K, -2.5%.",
KCl-SnCl2,5-95,+E,573,623,,19.966,-13814.96,,,,,
KCl-SnCl2,10-90,+E,573,623,,14.766,-12468.95,,,,,
KCl-SnCl2,15-85,+E,573,623,,11.371,-11399.5,,,,,
KCl-SnCl2,20-80,+E,573,623,,12.,-11866.44,,,,,
KCl-SnCl2,25-75,+E,573,623,,13.743,-12809.53,,,,,
KCl-SnCl2,30-70,+E,573,623,,10.902,-12076.48,,,,,
KCl-SnCl2,35-65,+E,573,623,,13.289,-13404.51,,,,,
KCl-SnCl2,40-60,+E,573,623,,13.012,-14010.78,,,,,
KCl-SnCl2,45-55,+E,573,623,,13.134,-15096.12,,,,,
KCl-SnCl2,50-50,+E,573,623,,23.14,-18550.07,,,,,
KCl-SnCl2,52-48,+E,573,623,,15.573,-16247.58,,,,,
KCl-SnCl2,55-45,DP,,,,0.702,623K,,,,,
KCl-SrCl2,0-100,+E,1148,1273,,15.197,-19663.87,,,,"For 100% SrCl2, the departures from the recommended data set are: 1148 K -3.1%, 1273 K -4.3%.",
KCl-SrCl2,10-90,+E,1098,1273,,10.68,-16806.99,,,,,
KCl-SrCl2,20-80,+E,1023,1273,,12.011,-18481.87,,,,,
KCl-SrCl2,30-70,+E,948,1273,,12.577,-19293.58,,,,,
KCl-SrCl2,40-60,+E,923,1273,,11.606,-18762.21,,,,,
KCl-SrCl2,50-50,+E,923,1273,,11.061,-18369.74,,,,,
KCl-SrCl2,60-40,+E,923,1273,,10.813,-17927.9,,,,,
KCl-SrCl2,70-30,+E,923,1273,,11.977,-18764.72,,,,,
KCl-SrCl2,80-20,+E,923,1273,,10.114,-16109.92,,,,,
KCl-SrCl2,90-10,+E,973,1273,,8.666,-13471.03,,,,,
KCl-SrCl2,100-0,+E,1073,1273,,6.635,-9735.49,,,,"For 100% KCl, the departures from the recommended data set are: 1073 K -0.5%, 1198 K -0.9%.",
KCl-ThCl4,0-100,+E,1075,1173,,10.135,-25542.91,,,,"For 100% ThCl4, the departures from the recommended data set are: 1075 K -3.0%, 1173 K -2.9%.",
KCl-ThCl4,24.7-75.3,+E,973,1123,,9.836,-24156.73,,,,,
KCl-ThCl4,35.5-64.5,+E,853,1123,,10.792,-24355.47,,,,,
KCl-ThCl4,44.1-55.9,+E,723,1073,,8.54,-20950.48,,,,,
KCl-ThCl4,50.3-49.7,+E,743,1073,,8.077,-19828.73,,,,,
KCl-ThCl4,58.1-41.9,+E,773,1073,,6.347,-17200.29,,,,,
KCl-ThCl4,63.6-36.4,+E,903,1073,,5.366,-15177.71,,,,,
KCl-ThCl4,69.5-30.5,+E,973,1123,,5.532,-14798.22,,,,,
KCl-ThCl4,74.2-25.8,+E,993,1123,,6.774,-15698.21,,,,,
KCl-ThCl4,79.4-20.6,+E,973,1123,,6.549,-14596.97,,,,,
KCl-ThCl4,83.8-16.2,+E,953,1123,,6.768,-13878.98,,,,,
KCl-ThCl4,100-0,+E,1075,1173,,7.396,-10663.94,,,,"For 100% KCl, the departures from the recommended data set are: 1075 K -0.05%,1273 K 0.5%.",
KCl-TiCl3,0-50 TiCl3,I4,1073,,,2.304,-0.07632,0.0030631,-7.0853E-5,6.2519E-7,"For 100% KCl at 1073 K, the departure from the recommended data set is +2.4%.",
KCl-UCl3,49.6-50.4,+E,870,1100,,10.624,-22188.96,,,,,
KCl-UCl3,59.9-40.1,+E,930,1190,,5.998,-16387.33,,,,,
KCl-UCl3,71.2-28.8,+E,970,1110,,5.406,-13871.03,,,,,
KCl-UCl3,75.0-25.0,+E,950,1060,,6.412,-15343.82,,,,,
KCl-UCl3,81.1-18.9,+E,910,1060,,6.919,-14577.3,,,,,
KCl-UCl3,95.0-5.0,+E,1060,1230,,5.016,-8830.48,,,,,
KCl-UCl4,0.00-100.00,+E,872,1001,,5.216,-18104.05,,,,"For 100% UCl4, the results have been advanced as the recommended data set.",
KCl-UCl4,4.47-95.53,+E,870,890,,6.946,-20007.39,,,,,
KCl-UCl4,9.66-90.34,+E,850,910,,6.386,-18987.73,,,,,
KCl-UCl4,16.74-83.26,+E,840,890,,6.784,-18912.41,,,,,
KCl-UCl4,25.76-74.24,+E,800,910,,5.881,-17328.74,,,,,
KCl-UCl4,35.65-64.35,+E,830,910,,4.123,-14262.24,,,,,
KCl-UCl4,46.30-53.70,+E,840,920,,4.246,-13971.86,,,,,
KCl-UCl4,54.38-45.62,+E,850,930,,4.212,-13466.01,,,,,
KCl-YCl3,0-100,+E,1000,1173,,27.893,-34680.92,,,,"For 100% YCl3, the departures from the recommended data set are: 1000 K 0.9%, 1148 K -1.3%.",
KCl-YCl3,19.64-80.36,+E,903,1023,,16.209,-27715.7,,,,,
KCl-YCl3,37.41-62.59,+E,823,933,,14.224,-24870.53,,,,,
KCl-YCl3,53.74-46.26,+E,723,903,,19.138,-25995.21,,,,,
KCl-YCl3,70.49-29.51,+E,1073,1173,,6.968,-16524.15,,,,,
KCl-YCl3,77.99-22.01,+E,1063,1153,,8.521,-16781.05,,,,,
KCl-YCl3,80-20,+E,1073,1163,,10.379,-18399.87,,,,,
KCl-YCl3,85.47-14.53,+E,993,1143,,10.876,-17808.66,,,,,
KCl-YCl3,91-9,+E,1003,1153,,9.058,-14804.08,,,,,
KCl-ZnCl2,0.00-100.00,P3,610,850,,-0.9757,0.0055534,-1.04507E-5,6.5176E-9,,"For 100% ZnCl2, the results have been advanced as the recommended data set.",
KCl-ZnCl2,5.72-94.28,P3,590,890,,0.1026,6.75E-5,-1.6401E-6,2.1337E-9,,,
KCl-ZnCl2,8.98-91.02,P2,590,870,,1.3224,-0.0047385,4.295E-6,,,,
KCl-ZnCl2,20.80-79.20,+E,590,870,,36.0389,-27997.29,,,,,
KCl-ZnCl2,33.80-66.20,P3,530,850,,1.1729,-0.0075411,1.3649E-5,-6.1321E-9,,,
KCl-ZnCl2,47.00-53.00,P3,510,870,,1.1202,-0.0076752,1.45618E-5,-6.8193E-9,,,
KCl-ZnCl2,54.10-45.90,+E,550,870,,18.9544,-20846.29,,,,,
KCl-ZnCl2,63.20-36.80,+E,710,730,,12.718,-18099.87,,,,,
KCl-ZnSO4,20.18-79.82,+E,770,820,,73.9179,-42823.96,,,,,
KCl-ZnSO4,25.56-74.44,+E,750,820,,54.9721,-39565.4,,,,,
KCl-ZnSO4,30.22-69.78,+E,750,820,,47.9713,-36559.57,,,,,
KCl-ZnSO4,31.13-68.87,+E,750,820,,84.6145,-40028.58,,,,,
KCl-ZnSO4,32.46-67.54,+E,750,820,,141.21,-43572.9,,,,,
KCl-ZnSO4,33.32-66.68,+E,770,820,,90.6723,-41174.6,,,,,
KCl-ZnSO4,34.69-65.31,+E,750,820,,65.7113,-37721.48,,,,,
KCl-ZnSO4,35.63-64.37,+E,750,820,,52.9987,-35825.26,,,,,
KCl-ZnSO4,38.00-62.00,+E,750,820,,20.1236,-28811.09,,,,,
KCl-ZnSO4,41.83-58.17,+E,750,820,,24.8175,-29581.37,,,,,
KCl-ZnSO4,44.96-55.04,+E,750,820,,22.8779,-28568.83,,,,,
KCl-ZnSO4,48.22-51.78,+E,750,820,,18.9568,-26754.62,,,,,
KCl-ZnSO4,50.71-49.29,+E,750,820,,17.3144,-25469.69,,,,,
KCl-ZnSO4,52.08-47.92,+E,750,820,,19.4159,-25760.48,,,,,
KCl-ZnSO4,52.79-47.21,+E,750,820,,14.6886,-23997.32,,,,,
KCl-ZnSO4,55.06-44.94,+E,750,820,,18.3143,-25708.6,,,,,
KCl-ZnSO4,56.87-43.13,+E,750,820,,23.5663,-26409.01,,,,,
KCl-ZnSO4,58.89-41.11,+E,750,820,,17.5713,-24162.59,,,,,
KClO4-KNO3,0-100,+E,620,700,,10.4269,-14248.01,,,,"For 100% KNO3, the departures from the recommended data set are: 630 K, +1.0%,700 K, +2.2%.",
KClO4-KNO3,5-95,+E,620,700,,10.6378,-14540.9,,,,,
KClO4-KNO3,10-90,+E,620,700,,10.6699,-14712.86,,,,,
KClO4-KNO3,15-85,+E,650,700,,10.1415,-14584.83,,,,,
KClO4-KNO3,20-80,+E,700,750,,9.1614,-14123.75,,,,,
KClO4-KNO3,30-70,+E,700,750,,8.56436,-13869.77,,,,,
KClO4-KNO3,40-60,+E,750,800,,7.62372,-13135.89,,,,,
KClO4-KNO3,50-50,+E,800,875,,7.00265,-12527.94,,,,,
KClO4-LiClO4,0-100,+E,543,633,,14.831,-13016.64,,,,"For 100% LiClO4, the results have been advanced as the recommended data set.",
KClO4-LiClO4,5-95,+E,530,630,,14.885,-13296.97,,,,,
KClO4-LiClO4,15-85,+E,520,610,,15.13,-13941.32,,,,,
KClO4-LiClO4,25-75,+E,500,640,,12.814,-13832.54,,,,,
KClO4-LiClO4,35-65,+E,550,630,,11.637,-14037.55,,,,,
KClO4-LiNO3,0-100,+E,540,680,,20.5363,-14023.75,,,,"For 100% LiNO3, the departures from the recommended data set are: 550 K, +2.7%, 670 K, +2.5%.",
KClO4-LiNO3,5-95,+E,540,680,,18.6984,-14069.35,,,,,
KClO4-LiNO3,14-86,+E,520,680,,17.5962,-14731.69,,,,,
KClO4-LiNO3,25-75,+E,580,680,,15.9262,-15187.76,,,,,
KClO4-LiNO3,40-60,+E,660,680,,13.3639,-15460.14,,,,,
KClO4-LiNO3,50-50,+E,660,680,,11.9924,-15646.75,,,,,
KClO4-NaNO3,0-100,+E,600,680,,11.2715,-11798.66,,,,"For 100% NaNO3, the departures from the recommended data set are: 610 K, -0.1%, 680 K, -0.9%.",
KClO4-NaNO3,10-90,+E,560,680,,12.2734,-12909.95,,,,,
KClO4-NaNO3,22-78,+E,540,680,,11.9965,-13413.29,,,,,
KClO4-NaNO3,40-60,+E,640,680,,10.3001,-13787.77,,,,,
KC2H3O2,100,+E,580,600,,31.8579,-24562.58,,,,"KC2H3O2: Accuracy not available, new system.",
KF,100,+E,1132.2,1285.2,5%,10.002,-9731.73,,,,,
KF-KI,0-100,+E,970,1180,,4.4871,-9729.22,,,,"For 100% KI, the departures from the recommended data set are: 970 K, +0.4%, 1170 K, -0.8%.",
KF-KI,12-88,+E,980,1200,,6.3283,-13193.21,,,,,
KF-KI,25-75,+E,980,1220,,6.922,-13665.17,,,,,
KF-KI,37-63,+E,1000,1190,,7.5046,-14107.01,,,,,
KF-KI,50-50,+E,1030,1280,,6.048,-11484.85,,,,,
KF-KI,63-37,+E,1040,1290,,6.9949,-12176.06,,,,,
KF-KI,75-25,+E,1110,1310,,7.0164,-10955.15,,,,,
KF-KI,88-12,+E,1120,1300,,10.0541,-12668.53,,,,,
KF-KI,100-0,+E,1160,1270,,9.2835,-9774.82,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, -7.6%, 1250 K, -7.6%.",
KF-K2SiF6,47.7-52.3,+E,1100,1170,,7.12223,-14375.63,,,,,
KF-K2ZrF6,0-100,+E,1073,1253,,10.888,-14804.91,,,,"For 100% K2ZrF6, the results have been advanced as the recommended data set.",
KF-K2ZrF6,10-90,+E,1233,1253,,6.774,-9507.46,,,,,
KF-K2ZrF6,20-80,+E,1233,1253,,6.813,-9079.85,,,,,
KF-K2ZrF6,25-75,+E,1233,1253,,8.45,-10755.15,,,,,
KF-K2ZrF6,30-70,+E,1233,1253,,6.896,-8363.96,,,,,
KF-K2ZrF6,33-67,+E,1233,1253,,6.933,-8121.28,,,,,
KF-K2ZrF6,40-60,+E,1233,1253,,8.47,-9449.72,,,,,
KF-K2ZrF6,50-50,+E,1233,1253,,13.984,-13331.28,,,,,
KF-K2ZrF6,60-40,+E,1233,1253,,13.855,-12892.37,,,,,
KF-K2ZrF6,67-33,+E,1233,1253,,10.237,-8941.36,,,,,
KF-K2ZrF6,75-25,+E,1233,1253,,15.452,-12268.53,,,,,
KF-K2ZrF6,80-20,+E,1233,1253,,15.343,-11829.62,,,,,
KF-K2ZrF6,90-10,+E,1233,1253,,17.107,-12014.14,,,,,
KF-K2ZrF6,100-0,+E,1233,1253,,20.84,-13007.86,,,,"For 100% KF, the departures from the recommended data set are: 1230 K, +51%, 1250 K, +52%.",
KF-LaF3,60.0-40.0,+E,1200,1340,,21.817,-24387.69,,,,,
KF-LaF3,70.0-30.0,+E,1050,1340,,19.436,-22619.92,,,,,
KF-LaF3,80.0-20.0,+E,1080,1340,,15.378,-18633.34,,,,,
KF-LaF3,90.0-10.0,+E,1080,1340,,11.519,-13422.91,,,,,
KF-LaF3,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-LiF,0.0-100.0,+E,1150,1340,,20.471,-7768.14,,,,"For 100% LiF, the departures from the recommended data set are: 1140 K, +4.2%,1320 K, +7.8%.",
KF-LiF,15.0-85.0,+E,1130,1340,,18.447,-10859.34,,,,,
KF-LiF,30.0-70.0,+E,1100,1340,,15.529,-12140.92,,,,,
KF-LiF,50.0-50.0,+E,1020,1340,,15.206,-13819.56,,,,,
KF-LiF,65.0-35.0,+E,1020,1340,,13.564,-12958.48,,,,,
KF-LiF,80.0-20.0,+E,1110,1340,,11.475,-11219.58,,,,,
KF-LiF,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-LiF-NaF,42.0-46.5-11.5,+E,790,1100,5%,7.805,-12936.2,,,,"KF-LiF-NaF eutectic: Recommended data, new system.",
KF-NaCl,33.4-66.6,+E,990,1270,,46.4832,-24515.3,,,,,
KF-NaCl,50-50,+E,1000,1230,,33.9363,-20972.23,,,,,
KF-NaCl,66.7-33.3,+E,990,1200,,44.9363,-23248.78,,,,,
KF-NaF,0.0-100.0,+E,1310,1340,,21.451,-15165.16,,,,"For 100% NaF, the departures from the recommended data set are: 1310 K, +5.6%,1350 K, +7.7%.",
KF-NaF,20.0-80.0,+E,1230,1340,,11.811,-10128.38,,,,,
KF-NaF,40.0-60.0,+E,1110,1340,,11.617,-10435.91,,,,,
KF-NaF,60.0-40.0,+E,1050,1340,,11.719,-11340.92,,,,,
KF-NaF,75.0-25.0,+E,1080,1340,,13.199,-12183.59,,,,,
KF-NaF,88.0-12.0,+E,1090,1340,,11.604,-11025.02,,,,,
KF-NaF,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-SmF3,50.0-50.0,+E,1250,1340,,22.366,-26967.17,,,,,
KF-SmF3,60.0-40.0,+E,1130,1340,,18.141,-24606.1,,,,,
KF-SmF3,70.0-30.0,+E,1190,1340,,11.638,-18849.65,,,,,
KF-SmF3,80.0-20.0,+E,1110,1340,,12.966,-17830.,,,,,
KF-SmF3,90.0-10.0,+E,1070,1340,,14.764,-16065.99,,,,,
KF-SmF3,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-ThF4,72.5-27.5,+E,1130,1340,,12.797,-21500.26,,,,,
KF-ThF4,80.3-19.7,+E,1170,1340,,11.572,-18215.35,,,,,
KF-ThF4,86.3-13.7,+E,1150,1340,,10.841,-14865.58,,,,,
KF-ThF4,92.9-7.1,+E,1110,1340,,11.436,-13408.27,,,,,
KF-ThF4,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-UF4,50.0-50.0,+E,1110,1340,,9.48,-18083.13,,,,,
KF-UF4,60.0-40.0,+E,1180,1340,,7.276,-16757.2,,,,,
KF-UF4,70.0-30.0,+E,1210,1340,,10.136,-19379.78,,,,,
KF-UF4,80.0-20.0,+E,1220,1340,,10.24,-16785.65,,,,,
KF-UF4,92.5-7.5,+E,1170,1340,,9.8937,-12047.19,,,,,
KF-UF4,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-YF3,47.5-52.5,+E,1150,1340,,31.038,-31023.21,,,,,
KF-YF3,57.5-42.5,+E,1240,1340,,16.968,-25555.46,,,,,
KF-YF3,70.0-30.0,+E,1230,1340,,12.414,-21546.71,,,,,
KF-YF3,82.5-17.5,+E,1210,1340,,11.64,-16451.34,,,,,
KF-YF3,92.5-7.5,+E,1130,1340,,9.4097,-11143.02,,,,,
KF-YF3,100.0-0.0,+E,1140,1340,,9.9064,-9248.05,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, +4.2%, 1340 K, +3.4%.",
KF-ZrF4,0.0-33.3 ZrF4,I2,1233.2,,,5.85,-0.04785,-0.001579,,,"For 100% KF at 1233 K, the departure from the recommended data set is +51%.",
KI,100,+E,959,1184,2.5%,4.846,-10405.78,,,,,
KI-LaI3,0-100,+E,1093,1193,,10.544,-27770.51,,,,"For 100% LaI3, the departures from the recommended data set are: 1100 K, +1.8%, 1190 K, +2.8%.",
KI-LaI3,10-90,+E,1093,1193,,7.053,-23405.69,,,,,
KI-LaI3,20-80,+E,1093,1193,,6.61,-22273.9,,,,,
KI-LaI3,30-70,+E,1093,1193,,5.107,-19192.33,,,,,
KI-LaI3,40-60,+E,1093,1193,,4.847,-18104.89,,,,,
KI-LaI3,50-50,+E,1093,1193,,4.508,-16737.12,,,,,
KI-LaI3,60-40,+E,1093,1193,,4.293,-15523.32,,,,,
KI-LaI3,70-30,+E,1093,1193,,8.156,-20417.01,,,,,
KI-LaI3,80-20,+E,1093,1193,,5.297,-15150.52,,,,,
KI-LaI3,90-10,+E,1093,1193,,6.295,-14924.58,,,,,
KI-LaI3,100-0,+E,1093,1193,,6.291,-12717.48,,,,"For 100% KI, the departures from the recommended data set are: 1090 K, +6.8%, 1170 K, +5.1%.",
KI-LiI,0.0-100.0,+E,770,910,,10.028,-5864.39,,,,"For 100% LiI, the departures from the recommended data set are: 770 K, -0.25%,910 K, -0.31%.",
KI-LiI,28.4-71.6,+E,860,1010,,7.066,-7314.17,,,,,
KI-LiI,35.0-65.0,+E,880,1020,,6.362,-7649.32,,,,,
KI-LiI,48.6-51.4,+E,910,1090,,5.481,-7855.17,,,,,
KI-LiI,75.9-24.1,+E,920,1040,,6.392,-11088.62,,,,,
KI-LiI,77.0-23.0,+E,920,1040,,6.67,-12171.04,,,,,
KI-LiI,100.0-0.0,+E,1000,1160,,5.187,-10981.51,,,,"For 100% KI, the departures from the recommended data set are: 1000 K, -0.6%, 1170 K, +0.9%.",
KI-NaCl,15.0-85.0,+E,1000,1070,,13.2081,-13018.73,,,,,
KI-NaCl,30.0-70.0,+E,920,1070,,11.0078,-12852.63,,,,,
KI-NaCl,50.0-50.0,+E,830,1070,,9.6113,-13173.54,,,,,
KI-NaCl,70.0-30.0,+E,850,1070,,8.9337,-13719.98,,,,,
KI-NaCl,85.0-15.0,+E,910,1070,,7.8236,-13423.75,,,,,
KI-NaCl,100-0,+E,970,1070,,5.803,-11917.49,,,,"For 100% KI, the departures from the recommended data set are: 970 K, -0.97%, 1060 K, +0.87%.",
KI-NaI,0-100,+E,950,1120,,5.414,-6393.26,,,,"For 100% NaI, the departures from the recommended data set are: 950 K, +4.9%, 1120 K, -2.4%.",
KI-NaI,20-80,+E,950,1120,,5.299,-7515.84,,,,,
KI-NaI,40-60,+E,950,1120,,5.041,-8140.94,,,,,
KI-NaI,60-40,+E,950,1120,,4.969,-9037.59,,,,,
KI-NaI,80-20,+E,950,1120,,4.946,-9852.65,,,,,
KI-NaI,100-0,+E,980,1120,,5.236,-11046.78,,,,"For 100% KI, the departures from the recommended data set are: 980 K, -0.5%, 1120 K, +0.6%.",
KI-NdI3,0-100,+E,1093,1197,,9.437,-28271.34,,,,"For 100% NdI3, the departures from the recommended data set are: 1090 K, +0.7%, 1190 K, +4.0%.",
KI-NdI3,10-90,+E,1093,1197,,5.329,-21966.37,,,,,
KI-NdI3,20-80,+E,1093,1197,,2.716,-14952.19,,,,,
KI-NdI3,30-70,+E,1093,1197,,4.367,-18507.82,,,,,
KI-NdI3,40-60,+E,1093,1197,,4.843,-18852.16,,,,,
KI-NdI3,50-50,+E,1093,1197,,5.181,-18630.41,,,,,
KI-NdI3,60-40,+E,1093,1197,,4.156,-15581.9,,,,,
KI-NdI3,70-30,+E,1093,1197,,6.274,-18321.21,,,,,
KI-NdI3,80-20,+E,1093,1197,,5.542,-15574.36,,,,,
KI-NdI3,90-10,+E,1093,1197,,5.442,-13389.86,,,,,
KI-NdI3,100-0,+E,1093,1197,,6.291,-12717.48,,,,"For 100% KI, the departures from the recommended data set are: 1090 K, 0.0%, 1190 K, +2.3%.",
KI-PbI2,0-100,+E,730,970,,6.445,-14150.52,,,,"For 100% PbI2, the departures from the recommended data set are: 730 K, +15.5%, 970 K, +3.8%.",
KI-PbI2,10-90,+E,680,970,,6.413,-14402.82,,,,,
KI-PbI2,20-80,+E,650,970,,6.612,-14888.18,,,,,
KI-PbI2,30-70,+E,650,970,,6.523,-15039.64,,,,,
KI-PbI2,33-67,+E,650,970,,7.215,-15900.3,,,,,
KI-PbI2,40-60,+E,650,970,,7.448,-16065.57,,,,,
KI-PbI2,50-50,+E,780,970,,6.906,-15964.74,,,,,
KI-PbI2,60-40,+E,830,970,,6.709,-15589.84,,,,,
KI-PbI2,80-20,+E,930,970,,5.696,-13337.14,,,,,
KI-PbI2,100-0,+E,980,1120,,5.236,-11046.78,,,,"For 100% KI, the departures from the recommended data set are: 970 K, -0.5%, 1120 K, +0.6%.",
KI-RbI,0-100,+E,950,1100,,4.132,-11789.45,,,,"For 100% RbI, the departures from the recommended data set are: 950 K, +1.4%, 1100 K, -1.6%.",
KI-RbI,50-50,+E,950,1120,,4.645,-11557.24,,,,,
KI-RbI,100-0,+E,1000,1170,,4.964,-10587.37,,,,"For 100% KI, the departures from the recommended data set are: 1000 K, 0.0%, 1170 K, +0.5%.",
KI-TlI,0-100,+E,913,970,,4.647,-12718.74,,,,"For 100% TlI, the departures from the recommended data set are: 920 K, +1.2%, 970 K, +0.9%.",
KI-TlI,10-90,+E,913,970,,4.68,-12859.32,,,,,
KI-TlI,20-80,+E,913,970,,4.647,-12718.74,,,,,
KI-TlI,30-70,+E,913,970,,6.468,-15055.96,,,,,
KI-TlI,40-60,+E,913,970,,8.622,-16904.48,,,,,
KI-TlI,50-50,+E,913,970,,9.512,-17252.18,,,,,
KI-TlI,60-40,+E,913,970,,4.986,-11971.88,,,,,
KI-TlI,70-30,+E,913,970,,4.917,-11648.03,,,,,
KI-TlI,80-20,+E,913,970,,5.599,-12422.09,,,,,
KI-TlI,90-10,+E,913,970,,7.26,-14188.6,,,,,
KI-TlI,100-0,+E,970,1050,,8.01,-14602.82,,,,"For 100% KI, the departures from the recommended data set are: 970 K, -2.0%, 1060 K, +2.7%.",
KI-ZnSO4,37.00-63.00,+E,710,750,,107.292,-40851.59,,,,,
KI-ZnSO4,39.64-60.36,+E,710,750,,140.141,-41760.78,,,,,
KI-ZnSO4,42.50-57.50,+E,710,750,,199.817,-43639.85,,,,,
KI-ZnSO4,45.09-54.91,+E,710,750,,60.6334,-35594.3,,,,,
KI-ZnSO4,47.42-52.58,+E,710,750,,87.4444,-36942.41,,,,,
KI-ZnSO4,50.00-50.00,+E,710,750,,56.1051,-33252.48,,,,,
KNO2,100,+E,713,743,5%,9.3374,-11922.51,,,,,
KNO2-NaNO2,0-100,+E,580,610,,16.185,-11794.89,,,,"For 100% NaNO2, the departures from the recommended data set are: 580 K, +1.4%, 610 K, +2.4%.",
KNO2-NaNO2,5-95,+E,580,630,,13.992,-11279.42,,,,,
KNO2-NaNO2,10-90,+E,580,630,,13.396,-11252.64,,,,,
KNO2-NaNO2,15-85,+E,580,650,,13.534,-11476.9,,,,,
KNO2-NaNO2,20-80,+E,580,650,,13.444,-11605.77,,,,,
KNO2-NaNO2,25-75,+E,580,670,,12.997,-11558.91,,,,,
KNO2-NaNO2,30-70,+E,580,670,,13.671,-11966.44,,,,,
KNO2-NaNO2,35-65,+E,580,670,,13.392,-12016.65,,,,,
KNO2-NaNO2,40-60,+E,580,690,,12.862,-11916.23,,,,,
KNO2-NaNO2,45-55,+E,580,710,,12.448,-11878.57,,,,,
KNO2-NaNO2,50-50,+E,580,710,,12.366,-11970.62,,,,,
KNO2-NaNO2,55-45,+E,580,730,,11.904,-11945.52,,,,,
KNO2-NaNO2,60-40,+E,580,730,,11.179,-11782.34,,,,,
KNO2-NaNO2,65-35,+E,610,730,,10.616,-11652.63,,,,,
